posterid,name,belongs,first
1,真嶋 温佳,大阪大学,1
1,白川 真澄,大阪大学,0
1,原 隆浩,大阪大学,0
1,西尾 章治郎,大阪大学,0
2,欅 惇志,奈良先端科学技術大学院大学,1
2,宮崎 純,東京工業大学,0
2,波多野 賢治,同志社大学,0
2,山本 豪志朗,奈良先端科学技術大学院大学,0
2,武富 貴史,奈良先端科学技術大学院大学,0
2,加藤 博一,奈良先端科学技術大学院大学,0
3,川上 未来,筑波大学,1
3,佐藤 哲司,筑波大学,0
4,小松 恭子,KDDI研究所,1
4,中澤 昌美,KDDI研究所,0
4,池田 和史,KDDI研究所,0
4,服部 元,KDDI研究所,0
4,滝嶋 康弘,KDDI研究所,0
5,津川 敦朗,岡山大学,1
5,新妻 弘崇,岡山大学,0
5,太田 学,岡山大学,0
6,栗原 俊明,東京大学,1
6,豊田 正史,東京大学,0
6,喜連川 優,東京大学／国立情報学研究所,0
7,菱沼 直子,お茶の水女子大学,1
7,竹房 あつ子,産業技術総合研究所,0
7,中田 秀基,産業技術総合研究所,0
7,小口 正人,お茶の水女子大学,0
8,牧野 浩之,NTT,1
8,鬼塚 真,NTT,0
9,松尾 哉太,岡山大学,1
9,新妻 弘崇,岡山大学,0
9,太田 学,岡山大学,0
10,谷 俊廣,立命館大学,1
10,黄 宏軒,立命館大学,0
10,川越 恭二,立命館大学,0
